device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
8.45944,38.9,37.7
8.47611,38.9,37.7
8.49278,38.9,37.7
8.50944,38.9,37.7
8.52611,38.9,37.7
8.54278,38.9,37.7
8.55944,38.9,37.7
8.57611,38.9,37.7
8.59278,38.9,37.7
8.60944,38.9,37.7
8.62611,38.9,37.7
8.64278,38.9,37.7
8.65944,38.9,37.7
8.67611,38.9,37.7
8.69278,38.9,37.7
8.70944,38.9,37.7
8.72611,38.9,37.7
8.74278,38.9,37.7
8.75944,38.9,37.7
8.77611,38.9,37.7
8.79278,38.9,37.7
8.80944,38.9,37.7
8.82611,38.9,37.7
8.84278,38.9,37.64
8.85944,38.9,37.663636363636364
8.87611,38.9,37.65384615384615
8.89278,38.8,37.666666666666664
8.90944,38.8,37.650000000000006
8.92611,38.8,37.666666666666664
8.94278,38.8,37.7
8.95944,38.9,37.7
8.97611,38.9,37.7
8.99278,38.9,37.7
9.00944,38.9,37.7
9.02611,38.9,37.7
9.04278,38.9,37.7
9.05944,38.9,37.7
9.07611,38.9,37.666666666666664
9.09278,38.8,37.65
9.10944,38.9,37.7
9.12611,38.8,37.650000000000006
9.14278,38.9,37.7
9.15944,38.8,37.660000000000004
9.17611,38.8,37.7
9.19278,38.8,37.7
9.20944,38.8,37.69444444444444
9.22611,38.9,37.7
9.24278,38.9,37.7
9.25944,38.9,37.7
9.27611,38.9,37.7
9.29278,38.9,37.7
9.30944,38.9,37.7
9.32611,38.9,37.64545454545455
9.34278,38.9,37.7
9.35944,38.9,37.7
9.37611,38.9,37.7
9.39278,38.9,37.7
9.40944,38.9,37.7
9.42611,38.9,37.7
9.44278,38.9,37.7
9.45944,38.9,37.7
9.47611,38.9,37.7
9.49278,38.9,37.7
9.50944,38.9,37.7
9.52611,38.9,37.7
9.54278,38.9,37.7
9.55944,38.9,37.7
9.57611,38.9,37.7
9.59278,38.9,37.7
9.60944,38.9,37.7
9.62611,38.9,37.7
9.64278,38.9,37.7
9.65944,38.9,37.7
9.67611,38.9,37.7
9.69278,38.9,37.7
9.70944,38.9,37.7
9.72611,38.9,37.7
9.74278,38.9,37.7
9.75944,38.9,37.7
9.77611,38.9,37.7
9.79278,38.9,37.7
9.80944,38.9,37.7
9.82611,38.9,37.7
9.84278,38.9,37.7
9.85944,38.9,37.7
9.87611,38.9,37.650000000000006
9.89278,38.9,37.7
9.90944,38.9,37.7
9.92611,38.9,37.7
9.94278,38.9,37.7
9.95944,38.9,37.7
9.97611,38.9,37.7
9.99278,38.9,37.7
10.00944,38.9,37.7
10.02611,38.9,37.7
