device,2102-NS32-0704-AA5O,2102-NS32-0704-AA5O
plate,,
wellmapId,1001,1002
sennum,1001,1002
measurement,Temperature,Temperature
12.38444,38.8,37.650000000000006
12.40111,38.8,37.648148148148145
12.41778,38.8,37.65
12.43444,38.8,37.65
12.45111,38.8,37.65
12.46778,38.8,37.65151515151515
12.48444,38.8,37.650000000000006
12.50111,38.8,37.650000000000006
12.51778,38.8,37.7
12.53444,38.8,37.6875
12.55111,38.8,37.7
12.56778,38.8,37.690000000000005
12.58444,38.8,37.666666666666664
12.60111,38.8,37.648148148148145
12.61778,38.8,37.65294117647059
12.63444,38.8,37.647619047619045
12.65111,38.8,37.64166666666667
12.66778,38.8,37.60689655172414
12.68444,38.8,37.652
12.70111,38.8,37.65
12.71778,38.8,37.650000000000006
12.73444,38.8,37.65714285714286
12.75111,38.8,37.64545454545455
12.76778,38.8,37.65238095238095
12.78444,38.8,37.650000000000006
12.80111,38.8,37.650000000000006
12.81778,38.8,37.650000000000006
12.83444,38.8,37.666666666666664
12.85111,38.8,37.65
12.86778,38.8,37.660000000000004
12.88444,38.8,37.650000000000006
12.90111,38.8,37.64782608695653
12.91778,38.8,37.650000000000006
12.93444,38.8,37.65217391304348
12.95111,38.8,37.65
12.96778,38.8,37.650000000000006
12.98444,38.8,37.650000000000006
13.00111,38.8,37.650000000000006
13.01778,38.8,37.7
13.03444,38.8,37.7
13.05111,38.8,37.650000000000006
13.06778,38.8,37.647619047619045
13.08444,38.8,37.65
13.10111,38.8,37.65
13.11778,38.8,37.650000000000006
13.13444,38.8,37.65
13.15111,38.8,37.650000000000006
13.16778,38.8,37.65
13.18444,38.8,37.650000000000006
13.20111,38.8,37.65
13.21778,38.8,37.65217391304348
13.23444,38.8,37.65
13.25111,38.8,37.644444444444446
13.26778,38.8,37.64
13.28444,38.8,37.65
13.30111,38.8,37.650000000000006
13.31778,38.8,37.650000000000006
13.33444,38.8,37.6
13.35111,38.8,37.6
13.36778,38.8,37.63333333333333
